ORF	gene	length.prot	classification	label
YAL065C	YAL065C	128	Uncharacterized	other
YAL066W	YAL066W	102	Dubious	other
YAL067C	SEO1	593	Verified	other
YAL067W-A	YAL067W-A	75	Uncharacterized	other
YAL068C	PAU8	120	Verified	other
YAL068W-A	YAL068W-A	84	Dubious	other
YAL069W	YAL069W	104	Dubious	other
YAR002C-A	ERP1	219	Verified	other
YAR002W	NUP60	539	Verified	other
YAR003W	SWD1	426	Verified	other
YAR007C	RFA1	621	Verified	other
YAR008W	SEN34	275	Verified	other
YAR014C	BUD14	709	Verified	other
YAR015W	ADE1	306	Verified	other
YAR018C	KIN3	435	Verified	other
YAR019C	CDC15	974	Verified	other
YAR019W-A	YAR019W-A	110	Dubious	other
YAR020C	PAU7	55	Verified	other
YAR023C	YAR023C	179	Uncharacterized	other
YAR027W	UIP3	235	Verified	MSN2/4
YAR028W	YAR028W	234	Uncharacterized	other
YAR029W	YAR029W	74	Uncharacterized	other
YAR030C	YAR030C	113	Dubious	other
YAR031W	PRM9	298	Verified	other
YAR033W	MST28	234	Verified	other
YAR035C-A	YAR035C-A	26	Uncharacterized	other
YAR035W	YAT1	687	Verified	other
YAR042W	SWH1	1188	Verified	other
YAR047C	YAR047C	106	Dubious	other
YAR050W	FLO1	1537	Verified	other
YAR053W	YAR053W	98	Dubious	other
YAR060C	YAR060C	111	Dubious	other
YAR064W	YAR064W	99	Uncharacterized	other
YAR066W	YAR066W	203	Uncharacterized	other
YAR068W	YAR068W	161	Uncharacterized	other
YAR069C	YAR069C	97	Dubious	other
YAR070C	YAR070C	99	Dubious	other
YAR071W	PHO11	467	Verified	other
YAR073W	IMD1	403	Dubious	other
YAR075W	YAR075W	157	Dubious	other
YBL001C	ECM15	104	Verified	MSN2/4
YBL002W	HTB2	131	Verified	other
YBL003C	HTA2	132	Verified	other
YBL004W	UTP20	2493	Verified	translation
YBL005W	PDR3	976	Verified	other
YBL006C	LDB7	180	Verified	other
YBL006W-A	YBL006W-A	49	Dubious	other
YBL007C	SLA1	1244	Verified	other
YBL008W	HIR1	840	Verified	other
YBL008W-A	YBL008W-A	79	Uncharacterized	other
YBL009W	ALK2	676	Verified	other
YBL010C	YBL010C	280	Uncharacterized	other
YBL011W	SCT1	759	Verified	other
YBL012C	YBL012C	133	Dubious	other
YBL013W	FMT1	401	Verified	other
YBL014C	RRN6	894	Verified	other
YBL015W	ACH1	526	Verified	other
YBL016W	FUS3	353	Verified	other
YBL017C	PEP1	1579	Verified	other
YBL018C	POP8	133	Verified	other
YBL019W	APN2	520	Verified	other
YBL020W	RFT1	574	Verified	other
YBL021C	HAP3	144	Verified	other
YBL022C	PIM1	1133	Verified	other
YBL023C	MCM2	868	Verified	other
YBL024W	NCL1	684	Verified	other
YBL025W	RRN10	145	Verified	other
YBL026W	LSM2	95	Verified	other
YBL027W	RPL19B	189	Verified	translation
YBL028C	YBL028C	106	Verified	other
YBL029C-A	YBL029C-A	94	Verified	other
YBL029W	YBL029W	376	Uncharacterized	other
YBL030C	PET9	318	Verified	other
YBL031W	SHE1	338	Verified	other
YBL032W	HEK2	381	Verified	other
YBL033C	RIB1	345	Verified	other
YBL034C	STU1	1513	Verified	other
YBL035C	POL12	705	Verified	other
YBL036C	YBL036C	257	Verified	other
YBL037W	APL3	1025	Verified	other
YBL038W	MRPL16	232	Verified	other
YBL039C	URA7	579	Verified	other
YBL039C-A	YBL039C-A	27	Dubious	other
YBL039W-B	YBL039W-B	59	Uncharacterized	other
YBL040C	ERD2	219	Verified	other
YBL041W	PRE7	241	Verified	other
YBL042C	FUI1	639	Verified	other
YBL043W	ECM13	257	Verified	other
YBL044W	YBL044W	122	Uncharacterized	other
YBL045C	COR1	457	Verified	other
YBL046W	PSY4	441	Verified	other
YBL047C	EDE1	1381	Verified	other
YBL048W	RRT1	103	Uncharacterized	other
YBL049W	MOH1	138	Verified	MSN2/4
YBL050W	SEC17	292	Verified	other
YBL051C	PIN4	668	Verified	other
YBL052C	SAS3	831	Verified	other
YBL053W	YBL053W	124	Dubious	other
YBL054W	TOD6	525	Verified	other
YBL055C	YBL055C	418	Verified	other
YBL056W	PTC3	468	Verified	other
YBL057C	PTH2	208	Verified	translation
YBL058W	SHP1	423	Verified	other
YBL059C-A	CMC2	109	Verified	other
YBL059W	YBL059W	193	Uncharacterized	other
YBL060W	YEL1	687	Verified	other
YBL061C	SKT5	696	Verified	other
YBL062W	YBL062W	126	Dubious	other
YBL063W	KIP1	1111	Verified	other
YBL064C	PRX1	261	Verified	MSN2/4
YBL065W	YBL065W	114	Dubious	other
YBL066C	SEF1	1148	Verified	other
YBL067C	UBP13	747	Verified	other
YBL068W	PRS4	326	Verified	other
YBL068W-A	YBL068W-A	78	Dubious	other
YBL069W	AST1	429	Verified	other
YBL070C	YBL070C	106	Dubious	other
YBL071C	YBL071C	102	Uncharacterized	other
YBL071C-B	YBL071C-B	32	Uncharacterized	other
YBL071W-A	KTI11	82	Verified	translation
YBL072C	RPS8A	200	Verified	translation
YBL073W	YBL073W	103	Dubious	other
YBL074C	AAR2	355	Verified	other
YBL075C	SSA3	649	Verified	other
YBL076C	ILS1	1072	Verified	other
YBL077W	YBL077W	143	Dubious	other
YBL078C	ATG8	117	Verified	other
YBL079W	NUP170	1502	Verified	other
YBL080C	PET112	541	Verified	other
YBL081W	YBL081W	368	Uncharacterized	other
YBL082C	ALG3	458	Verified	other
YBL083C	YBL083C	141	Dubious	other
YBL084C	CDC27	758	Verified	other
YBL085W	BOI1	980	Verified	other
YBL086C	YBL086C	466	Uncharacterized	other
YBL087C	RPL23A	137	Verified	translation
YBL088C	TEL1	2787	Verified	other
YBL089W	AVT5	459	Verified	other
YBL090W	MRP21	177	Verified	other
YBL091C	MAP2	421	Verified	other
YBL091C-A	SCS22	175	Verified	other
YBL092W	RPL32	130	Verified	translation
YBL093C	ROX3	220	Verified	other
YBL094C	YBL094C	110	Dubious	other
YBL095W	MRX3	270	Uncharacterized	other
YBL096C	YBL096C	102	Dubious	other
YBL097W	BRN1	754	Verified	other
YBL098W	BNA4	460	Verified	other
YBL099W	ATP1	545	Verified	other
YBL100C	YBL100C	104	Dubious	other
YBL100W-C	YBL100W-C	39	Uncharacterized	other
YBL101C	ECM21	1117	Verified	other
YBL102W	SFT2	215	Verified	other
YBL103C	RTG3	486	Verified	other
YBL104C	SEA4	1038	Verified	other
YBL105C	PKC1	1151	Verified	other
YBL106C	SRO77	1010	Verified	other
YBL107C	MIX23	196	Verified	other
YBL107W-A	YBL107W-A	34	Dubious	other
YBL108C-A	PAU9	42	Verified	other
YBL108W	YBL108W	101	Dubious	other
YBL109W	YBL109W	111	Dubious	other
YBL111C	YBL111C	667	Verified	other
YBL112C	YBL112C	105	Uncharacterized	other
YBL113C	YBL113C	792	Uncharacterized	other
YBL113W-A	YBL113W-A	160	Dubious	other
YBR001C	NTH2	780	Verified	other
YBR002C	RER2	286	Verified	other
YBR003W	COQ1	473	Verified	other
YBR004C	GPI18	433	Verified	other
YBR005W	RCR1	213	Verified	other
YBR006W	UGA2	497	Verified	other
YBR007C	DSF2	736	Verified	other
YBR008C	FLR1	548	Verified	other
YBR009C	HHF1	103	Verified	other
YBR010W	HHT1	136	Verified	other
YBR011C	IPP1	287	Verified	other
YBR012C	YBR012C	139	Dubious	other
YBR013C	YBR013C	129	Uncharacterized	other
YBR014C	GRX7	203	Verified	other
YBR015C	MNN2	597	Verified	other
YBR016W	YBR016W	128	Verified	other
YBR017C	KAP104	918	Verified	other
YBR018C	GAL7	366	Verified	MSN2/4
YBR019C	GAL10	699	Verified	other
YBR020W	GAL1	528	Verified	other
YBR021W	FUR4	633	Verified	other
YBR022W	POA1	177	Verified	other
YBR023C	CHS3	1165	Verified	other
YBR024W	SCO2	301	Verified	other
YBR025C	OLA1	394	Verified	HSF1
YBR026C	ETR1	380	Verified	MSN2/4
YBR027C	YBR027C	110	Uncharacterized	other
YBR028C	YPK3	525	Verified	other
YBR029C	CDS1	457	Verified	other
YBR030W	RKM3	552	Verified	other
YBR031W	RPL4A	362	Verified	translation
YBR032W	YBR032W	100	Uncharacterized	other
YBR033W	EDS1	919	Uncharacterized	MSN2/4
YBR034C	HMT1	348	Verified	other
YBR035C	PDX3	228	Verified	other
YBR036C	CSG2	410	Verified	other
YBR037C	SCO1	295	Verified	MSN2/4
YBR038W	CHS2	963	Verified	other
YBR039W	ATP3	311	Verified	other
YBR040W	FIG1	298	Verified	other
YBR041W	FAT1	669	Verified	other
YBR042C	CST26	397	Verified	other
YBR043C	QDR3	689	Verified	other
YBR044C	TCM62	572	Verified	other
YBR045C	GIP1	639	Verified	other
YBR046C	ZTA1	334	Verified	MSN2/4
YBR047W	FMP23	175	Uncharacterized	other
YBR048W	RPS11B	156	Verified	translation
YBR049C	REB1	810	Verified	other
YBR050C	REG2	338	Verified	other
YBR051W	YBR051W	116	Dubious	other
YBR052C	RFS1	210	Verified	MSN2/4
YBR053C	YBR053C	358	Uncharacterized	other
YBR054W	YRO2	344	Verified	MSN2/4
YBR055C	PRP6	899	Verified	other
YBR056C-B	YBR056C-B	52	Dubious	other
YBR056W	YBR056W	501	Verified	other
YBR056W-A	YBR056W-A	66	Uncharacterized	other
YBR057C	MUM2	366	Verified	other
YBR058C	UBP14	781	Verified	other
YBR058C-A	TSC3	80	Verified	other
YBR059C	AKL1	1108	Verified	other
YBR060C	ORC2	620	Verified	other
YBR061C	TRM7	310	Verified	other
YBR062C	YBR062C	180	Uncharacterized	other
YBR063C	YBR063C	404	Uncharacterized	other
YBR064W	YBR064W	142	Dubious	other
YBR065C	ECM2	364	Verified	other
YBR066C	NRG2	220	Verified	other
YBR067C	TIP1	210	Verified	HSF1
YBR068C	BAP2	609	Verified	other
YBR069C	TAT1	619	Verified	other
YBR070C	ALG14	237	Verified	other
YBR071W	YBR071W	211	Verified	other
YBR072C-A	YBR072C-A	53	Uncharacterized	other
YBR072W	HSP26	214	Verified	HSF1
YBR073W	RDH54	958	Verified	other
YBR074W	PFF1	976	Verified	other
YBR076C-A	YBR076C-A	88	Dubious	other
YBR076W	ECM8	354	Verified	other
YBR077C	SLM4	162	Verified	other
YBR078W	ECM33	429	Verified	other
YBR079C	RPG1	964	Verified	translation
YBR080C	SEC18	758	Verified	other
YBR081C	SPT7	1332	Verified	other
YBR082C	UBC4	148	Verified	HSF1
YBR083W	TEC1	486	Verified	other
YBR084C-A	RPL19A	189	Verified	translation
YBR084W	MIS1	975	Verified	other
YBR085C-A	YBR085C-A	85	Verified	other
YBR085W	AAC3	307	Verified	other
YBR086C	IST2	946	Verified	other
YBR087W	RFC5	354	Verified	other
YBR088C	POL30	258	Verified	other
YBR089C-A	NHP6B	99	Verified	other
YBR089W	YBR089W	199	Dubious	other
YBR090C	YBR090C	122	Uncharacterized	other
YBR091C	TIM12	109	Verified	other
YBR092C	PHO3	467	Verified	other
YBR093C	PHO5	467	Verified	other
YBR094W	PBY1	753	Verified	other
YBR095C	RXT2	430	Verified	other
YBR096W	YBR096W	230	Uncharacterized	other
YBR097W	VPS15	1454	Verified	other
YBR098W	MMS4	691	Verified	other
YBR099C	YBR099C	127	Dubious	other
YBR101C	FES1	290	Verified	HSF1
YBR102C	EXO84	753	Verified	other
YBR103C-A	YBR103C-A	47	Dubious	other
YBR103W	SIF2	535	Verified	other
YBR104W	YMC2	329	Verified	other
YBR105C	VID24	362	Verified	other
YBR106W	PHO88	188	Verified	other
YBR107C	IML3	245	Verified	other
YBR108W	AIM3	947	Verified	other
YBR109C	CMD1	147	Verified	other
YBR109W-A	YBR109W-A	74	Dubious	other
YBR110W	ALG1	449	Verified	other
YBR111C	YSA1	231	Verified	other
YBR111W-A	SUS1	96	Verified	other
YBR112C	CYC8	966	Verified	other
YBR113W	YBR113W	160	Dubious	other
YBR114W	RAD16	790	Verified	other
YBR115C	LYS2	1392	Verified	other
YBR116C	YBR116C	175	Dubious	other
YBR117C	TKL2	681	Verified	MSN2/4
YBR118W	TEF2	458	Verified	translation
YBR119W	MUD1	298	Verified	other
YBR120C	CBP6	162	Verified	MSN2/4
YBR121C	GRS1	667	Verified	other
YBR121C-A	YBR121C-A	52	Dubious	other
YBR122C	MRPL36	177	Verified	other
YBR123C	TFC1	649	Verified	other
YBR124W	YBR124W	119	Dubious	other
YBR125C	PTC4	393	Verified	other
YBR126C	TPS1	495	Verified	MSN2/4
YBR126W-A	MEO1	68	Verified	other
YBR126W-B	YBR126W-B	47	Dubious	other
YBR127C	VMA2	517	Verified	other
YBR128C	ATG14	344	Verified	other
YBR129C	OPY1	328	Verified	other
YBR130C	SHE3	425	Verified	other
YBR131C-A	YBR131C-A	29	Dubious	other
YBR131W	CCZ1	704	Verified	other
YBR132C	AGP2	596	Verified	MSN2/4
YBR133C	HSL7	827	Verified	other
YBR134W	YBR134W	133	Dubious	other
YBR135W	CKS1	150	Verified	other
YBR136W	MEC1	2368	Verified	other
YBR137W	YBR137W	179	Verified	other
YBR138C	YBR138C	524	Uncharacterized	other
YBR139W	YBR139W	508	Verified	other
YBR140C	IRA1	3092	Verified	other
YBR141C	BMT2	337	Verified	other
YBR141W-A	YBR141W-A	31	Dubious	other
YBR142W	MAK5	773	Verified	translation
YBR143C	SUP45	437	Verified	translation
YBR144C	YBR144C	104	Uncharacterized	other
YBR145W	ADH5	351	Verified	glycolysis
YBR146W	MRPS9	278	Verified	other
YBR147W	RTC2	296	Verified	MSN2/4
YBR148W	YSW1	609	Verified	other
YBR149W	ARA1	344	Verified	MSN2/4
YBR150C	TBS1	1094	Verified	other
YBR151W	APD1	316	Verified	other
YBR152W	SPP381	291	Verified	other
YBR153W	RIB7	244	Verified	other
YBR154C	RPB5	215	Verified	translation
YBR155W	CNS1	385	Verified	other
YBR156C	SLI15	698	Verified	other
YBR157C	ICS2	255	Verified	other
YBR158W	AMN1	549	Verified	other
YBR159W	IFA38	347	Verified	other
YBR160W	CDC28	298	Verified	other
YBR161W	CSH1	376	Verified	other
YBR162C	TOS1	455	Verified	other
YBR162W-A	YSY6	65	Verified	other
YBR163W	EXO5	585	Verified	other
YBR164C	ARL1	183	Verified	other
YBR165W	UBS1	277	Verified	other
YBR166C	TYR1	452	Verified	other
YBR167C	POP7	140	Verified	other
YBR168W	PEX32	413	Verified	other
YBR169C	SSE2	693	Verified	HSF1
YBR170C	NPL4	580	Verified	other
YBR171W	SEC66	206	Verified	other
YBR172C	SMY2	740	Verified	other
YBR173C	UMP1	148	Verified	other
YBR174C	YBR174C	104	Dubious	other
YBR175W	SWD3	315	Verified	other
YBR176W	ECM31	312	Verified	other
YBR177C	EHT1	451	Verified	other
YBR178W	YBR178W	124	Dubious	other
YBR179C	FZO1	855	Verified	other
YBR180W	DTR1	572	Verified	other
YBR181C	RPS6B	236	Verified	translation
YBR182C	SMP1	452	Verified	other
YBR182C-A	YBR182C-A	64	Uncharacterized	other
YBR183W	YPC1	316	Verified	other
YBR184W	YBR184W	523	Uncharacterized	other
YBR185C	MBA1	278	Verified	other
YBR186W	PCH2	564	Verified	other
YBR187W	GDT1	280	Verified	other
YBR188C	NTC20	140	Verified	other
YBR189W	RPS9B	195	Verified	translation
YBR190W	YBR190W	103	Dubious	other
YBR191W	RPL21A	160	Verified	translation
YBR191W-A	YBR191W-A	24	Dubious	other
YBR192W	RIM2	377	Verified	other
YBR193C	MED8	223	Verified	other
YBR194W	AIM4	123	Verified	other
YBR195C	MSI1	422	Verified	other
YBR196C	PGI1	554	Verified	glycolysis
YBR196C-A	YBR196C-A	49	Uncharacterized	other
YBR196C-B	YBR196C-B	34	Uncharacterized	other
YBR197C	YBR197C	217	Verified	other
YBR198C	TAF5	798	Verified	other
YBR199W	KTR4	464	Verified	other
YBR200W	BEM1	551	Verified	other
YBR200W-A	YBR200W-A	54	Uncharacterized	other
YBR201C-A	YBR201C-A	67	Uncharacterized	other
YBR201W	DER1	211	Verified	other
YBR202W	MCM7	845	Verified	other
YBR203W	COS111	924	Verified	other
YBR204C	LDH1	375	Verified	other
YBR205W	KTR3	404	Verified	other
YBR206W	YBR206W	107	Dubious	other
YBR207W	FTH1	465	Verified	other
YBR208C	DUR1%2C2	1835	Verified	other
YBR209W	YBR209W	105	Uncharacterized	other
YBR210W	ERV15	142	Verified	other
YBR211C	AME1	324	Verified	other
YBR212W	NGR1	672	Verified	other
YBR213W	MET8	274	Verified	other
YBR214W	SDS24	527	Verified	MSN2/4
YBR215W	HPC2	625	Verified	other
YBR216C	YBP1	674	Verified	other
YBR217W	ATG12	186	Verified	other
YBR218C	PYC2	1180	Verified	other
YBR219C	YBR219C	127	Uncharacterized	other
YBR220C	YBR220C	560	Uncharacterized	other
YBR221C	PDB1	366	Verified	other
YBR221W-A	YBR221W-A	34	Uncharacterized	other
YBR222C	PCS60	543	Verified	other
YBR223C	TDP1	544	Verified	other
YBR223W-A	YBR223W-A	39	Dubious	other
YBR224W	YBR224W	171	Dubious	other
YBR225W	YBR225W	900	Uncharacterized	other
YBR226C	YBR226C	136	Dubious	other
YBR227C	MCX1	520	Verified	other
YBR228W	SLX1	304	Verified	other
YBR229C	ROT2	954	Verified	other
YBR230C	OM14	134	Verified	MSN2/4
YBR230W-A	YBR230W-A	66	Uncharacterized	other
YBR231C	SWC5	303	Verified	other
YBR232C	YBR232C	119	Dubious	other
YBR233W	PBP2	413	Verified	other
YBR233W-A	DAD3	94	Verified	other
YBR234C	ARC40	384	Verified	other
YBR235W	VHC1	1120	Verified	other
YBR236C	ABD1	436	Verified	other
YBR237W	PRP5	849	Verified	other
YBR238C	YBR238C	731	Verified	other
YBR239C	ERT1	529	Verified	other
YBR240C	THI2	450	Verified	other
YBR241C	YBR241C	488	Uncharacterized	other
YBR242W	YBR242W	238	Uncharacterized	other
YBR243C	ALG7	448	Verified	other
YBR244W	GPX2	162	Verified	other
YBR245C	ISW1	1129	Verified	other
YBR246W	RRT2	387	Verified	translation
YBR247C	ENP1	483	Verified	translation
YBR248C	HIS7	552	Verified	other
YBR249C	ARO4	370	Verified	other
YBR250W	SPO23	523	Verified	other
YBR251W	MRPS5	307	Verified	other
YBR252W	DUT1	147	Verified	other
YBR253W	SRB6	121	Verified	other
YBR254C	TRS20	175	Verified	other
YBR255C-A	RCF3	120	Uncharacterized	other
YBR255W	MTC4	694	Verified	other
YBR256C	RIB5	238	Verified	other
YBR257W	POP4	279	Verified	other
YBR258C	SHG1	142	Verified	other
YBR259W	YBR259W	688	Verified	other
YBR260C	RGD1	666	Verified	other
YBR261C	TAE1	232	Verified	other
YBR262C	MIC12	106	Verified	other
YBR263W	SHM1	490	Verified	other
YBR264C	YPT10	199	Verified	other
YBR265W	TSC10	320	Verified	other
YBR266C	SLM6	150	Dubious	other
YBR267W	REI1	393	Verified	translation
YBR268W	MRPL37	105	Verified	other
YBR269C	SDH8	138	Verified	other
YBR270C	BIT2	545	Verified	other
YBR271W	EFM2	419	Verified	other
YBR272C	HSM3	480	Verified	other
YBR273C	UBX7	436	Verified	other
YBR274W	CHK1	527	Verified	other
YBR275C	RIF1	1916	Verified	other
YBR276C	PPS1	807	Verified	other
YBR277C	YBR277C	133	Dubious	other
YBR278W	DPB3	201	Verified	other
YBR279W	PAF1	445	Verified	other
YBR280C	SAF1	637	Verified	MSN2/4
YBR281C	DUG2	878	Verified	other
YBR282W	MRPL27	146	Verified	other
YBR283C	SSH1	490	Verified	other
YBR284W	YBR284W	797	Uncharacterized	other
YBR285W	YBR285W	144	Uncharacterized	other
YBR286W	APE3	537	Verified	other
YBR287W	YBR287W	427	Uncharacterized	other
YBR288C	APM3	483	Verified	other
YBR289W	SNF5	905	Verified	other
YBR290W	BSD2	321	Verified	other
YBR291C	CTP1	299	Verified	other
YBR292C	YBR292C	123	Uncharacterized	other
YBR293W	VBA2	474	Verified	other
YBR294W	SUL1	859	Verified	other
YBR295W	PCA1	1216	Verified	other
YBR296C	PHO89	574	Verified	other
YBR296C-A	YBR296C-A	39	Uncharacterized	other
YBR297W	MAL33	468	Verified	other
YBR298C	MAL31	614	Verified	other
YBR298C-A	YBR298C-A	73	Uncharacterized	other
YBR299W	MAL32	584	Verified	other
YBR300C	YBR300C	165	Dubious	other
YBR301W	PAU24	120	Verified	other
YBR302C	COS2	379	Verified	other
YCL001W	RER1	188	Verified	other
YCL001W-A	YCL001W-A	153	Uncharacterized	other
YCL001W-B	YCL001W-B	84	Uncharacterized	other
YCL002C	YCL002C	263	Uncharacterized	other
YCL004W	PGS1	521	Verified	other
YCL005W	LDB16	256	Verified	other
YCL005W-A	VMA9	73	Verified	other
YCL007C	YCL007C	130	Dubious	other
YCL008C	STP22	385	Verified	other
YCL009C	ILV6	309	Verified	other
YCL010C	SGF29	259	Verified	other
YCL011C	GBP2	427	Verified	other
YCL012C	YCL012C	134	Verified	other
YCL014W	BUD3	1636	Verified	other
YCL016C	DCC1	380	Verified	other
YCL017C	NFS1	497	Verified	other
YCL018W	LEU2	364	Verified	other
YCL021W-A	YCL021W-A	125	Uncharacterized	other
YCL022C	YCL022C	171	Dubious	other
YCL023C	YCL023C	115	Dubious	other
YCL024W	KCC4	1037	Verified	other
YCL025C	AGP1	633	Verified	other
YCL026C-A	FRM2	193	Verified	other
YCL026C-B	HBN1	193	Verified	other
YCL027W	FUS1	512	Verified	other
YCL028W	RNQ1	405	Verified	other
YCL029C	BIK1	440	Verified	other
YCL030C	HIS4	799	Verified	other
YCL031C	RRP7	297	Verified	translation
YCL032W	STE50	346	Verified	other
YCL033C	MXR2	168	Verified	other
YCL034W	LSB5	354	Verified	MSN2/4
YCL035C	GRX1	110	Verified	MSN2/4
YCL036W	GFD2	566	Verified	other
YCL037C	SRO9	434	Verified	other
YCL038C	ATG22	528	Verified	other
YCL039W	GID7	745	Verified	MSN2/4
YCL040W	GLK1	500	Verified	glycolysis
YCL041C	YCL041C	164	Dubious	other
YCL042W	YCL042W	119	Uncharacterized	other
YCL043C	PDI1	522	Verified	other
YCL044C	MGR1	417	Verified	other
YCL045C	EMC1	760	Verified	other
YCL046W	YCL046W	107	Dubious	other
YCL047C	POF1	258	Verified	other
YCL048W	SPS22	463	Verified	other
YCL048W-A	YCL048W-A	79	Uncharacterized	other
YCL049C	YCL049C	312	Uncharacterized	other
YCL050C	APA1	321	Verified	HSF1
YCL051W	LRE1	583	Verified	other
YCL052C	PBN1	416	Verified	other
YCL054W	SPB1	841	Verified	translation
YCL054W-A	RDT1	28	Uncharacterized	other
YCL055W	KAR4	335	Verified	other
YCL056C	PEX34	144	Verified	other
YCL057C-A	MIC10	97	Verified	other
YCL057W	PRD1	712	Verified	other
YCL058C	FYV5	152	Verified	other
YCL058W-A	ADF1	113	Verified	other
YCL059C	KRR1	316	Verified	translation
YCL061C	MRC1	1096	Verified	other
YCL063W	VAC17	423	Verified	other
YCL064C	CHA1	360	Verified	other
YCL065W	YCL065W	122	Dubious	other
YCL066W	HMLALPHA1	175	Verified%7Csilenced_gene	other
YCL067C	HMLALPHA2	210	Verified%7Csilenced_gene	other
YCL068C	YCL068C	260	Uncharacterized	other
YCL069W	VBA3	458	Verified	other
YCL073C	GEX1	615	Verified	other
YCL076W	YCL076W	247	Dubious	other
YCR001W	YCR001W	104	Uncharacterized	other
YCR002C	CDC10	322	Verified	other
YCR003W	MRPL32	183	Verified	other
YCR004C	YCP4	247	Verified	other
YCR005C	CIT2	460	Verified	other
YCR006C	YCR006C	157	Uncharacterized	other
YCR007C	YCR007C	239	Uncharacterized	other
