skORF	gene	ORF	kmORF
SKDZ_02G1570	YRO2	YBR054W	NA
SKDZ_02G1580	PRP6	YBR055C	KLMA_60555
SKDZ_02G1590	YBR056W	YBR056W	KLMA_40105
SKDZ_02G1600	YBR056W-A	YBR056W-A	NA
SKDZ_02G1620	MUM2	YBR057C	KLMA_40108
SKDZ_02G1630	UBP14	YBR058C	KLMA_40109
SKDZ_02G1640	TSC3	YBR058C-A	NA
SKDZ_02G1650	AKL1	YBR059C	KLMA_40112
SKDZ_02G1660	ORC2	YBR060C	KLMA_40113
SKDZ_02G1670	TRM7	YBR061C	KLMA_40121
SKDZ_02G1680	YBR062C	YBR062C	KLMA_40119
SKDZ_02G1690	YBR063C	YBR063C	NA
SKDZ_02G1700	ECM2	YBR065C	KLMA_40118
SKDZ_02G1710	NRG2	YBR066C	NA
SKDZ_02G1720	TIP1	YBR067C	NA
SKDZ_02G1730	BAP2	YBR068C	NA
SKDZ_02G1740	TAT1	YBR069C	NA
SKDZ_02G1750	ALG14	YBR070C	KLMA_40126
SKDZ_02G1760	YBR071W	YBR071W	NA
SKDZ_02G1770	HSP26	YBR072W	KLMA_40128
SKDZ_02G1780	RDH54	YBR073W	KLMA_20179
SKDZ_02G1800	ECM8	YBR076W	NA
SKDZ_02G1810	SLM4	YBR077C	KLMA_20188
SKDZ_02G1820	ECM33	YBR078W	KLMA_30554
SKDZ_02G1830	RPG1	YBR079C	KLMA_30552
SKDZ_02G1840	SEC18	YBR080C	NA
SKDZ_02G1850	SPT7	YBR081C	KLMA_70366
SKDZ_02G1860	UBC4	YBR082C	KLMA_70365
SKDZ_02G1870	TEC1	YBR083W	KLMA_70361
SKDZ_02G1880	MIS1	YBR084W	KLMA_70359
SKDZ_02G1890	RPL19A	YBR084C-A	KLMA_70358
SKDZ_02G1900	AAC3	YBR085W	KLMA_70354
SKDZ_02G1920	YBR085C-A	YBR085C-A	KLMA_70348
SKDZ_02G1930	IST2	YBR086C	NA
SKDZ_02G1940	RFC5	YBR087W	KLMA_70341
SKDZ_02G1950	POL30	YBR088C	KLMA_70334
SKDZ_02G1970	NHP6B	YBR089C-A	KLMA_70332
SKDZ_02G1980	TIM12	YBR091C	KLMA_70331
SKDZ_02G1990	PHO3	YBR092C	KLMA_10834
SKDZ_02G1990	PHO3	YBR092C	KLMA_20829
SKDZ_02G2000	PHO5	YBR093C	KLMA_10834
SKDZ_02G2000	PHO5	YBR093C	KLMA_20829
SKDZ_02G2010	PBY1	YBR094W	KLMA_70330
SKDZ_02G2020	RXT2	YBR095C	KLMA_70329
SKDZ_02G2030	YBR096W	YBR096W	KLMA_70328
SKDZ_02G2040	VPS15	YBR097W	KLMA_70326
SKDZ_02G2050	MMS4	YBR098W	KLMA_20080
SKDZ_02G2070	FES1	YBR101C	KLMA_20079
SKDZ_02G2080	EXO84	YBR102C	KLMA_20078
SKDZ_02G2090	SIF2	YBR103W	KLMA_20077
SKDZ_02G2100	YMC2	YBR104W	NA
SKDZ_02G2110	VID24	YBR105C	KLMA_80284
SKDZ_02G2120	PHO88	YBR106W	KLMA_80285
SKDZ_02G2130	IML3	YBR107C	NA
SKDZ_02G2140	AIM3	YBR108W	NA
SKDZ_02G2150	CMD1	YBR109C	KLMA_80290
SKDZ_02G2160	ALG1	YBR110W	KLMA_80292
SKDZ_02G2170	YSA1	YBR111C	KLMA_80296
SKDZ_02G2180	SUS1	YBR111W-A	NA
SKDZ_02G2190	CYC8	YBR112C	KLMA_80297
SKDZ_02G2210	RAD16	YBR114W	KLMA_80298
SKDZ_02G2220	LYS2	YBR115C	KLMA_80299
SKDZ_02G2230	TKL2	YBR117C	NA
SKDZ_02G2240	TEF2	YBR118W	KLMA_80309
SKDZ_02G2250	MUD1	YBR119W	KLMA_80310
SKDZ_02G2260	CBP6	YBR120C	KLMA_80311
SKDZ_02G2270	GRS1	YBR121C	KLMA_80312
SKDZ_02G2290	MRPL36	YBR122C	KLMA_80314
SKDZ_02G2300	TFC1	YBR123C	KLMA_80315
SKDZ_02G2320	PTC4	YBR125C	KLMA_80316
SKDZ_02G2330	TPS1	YBR126C	KLMA_80317
SKDZ_02G2340	YBR126W-A	YBR126W-A	NA
SKDZ_02G2350	VMA2	YBR127C	KLMA_20708
SKDZ_02G2360	ATG14	YBR128C	KLMA_20709
SKDZ_02G2370	OPY1	YBR129C	KLMA_20712
SKDZ_02G2380	SHE3	YBR130C	KLMA_20713
SKDZ_02G2390	CCZ1	YBR131W	KLMA_20715
SKDZ_02G2410	AGP2	YBR132C	KLMA_70214
SKDZ_02G2420	HSL7	YBR133C	KLMA_70212
SKDZ_02G2440	CKS1	YBR135W	KLMA_70211
SKDZ_02G2450	MEC1	YBR136W	KLMA_70210
SKDZ_02G2460	YBR137W	YBR137W	NA
SKDZ_02G2470	YBR138C	YBR138C	NA
SKDZ_02G2480	YBR139W	YBR139W	KLMA_60138
SKDZ_02G2490	IRA1	YBR140C	KLMA_60141
SKDZ_02G2510	MAK5	YBR142W	KLMA_30393
SKDZ_02G2520	SUP45	YBR143C	KLMA_30394
SKDZ_02G2530	ADH5	YBR145W	NA
SKDZ_02G2540	MRPS9	YBR146W	KLMA_40221
SKDZ_02G2550	RTC2	YBR147W	KLMA_10169
SKDZ_02G2560	YSW1	YBR148W	NA
SKDZ_02G2570	ARA1	YBR149W	KLMA_30577
SKDZ_02G2580	TBS1	YBR150C	KLMA_30576
SKDZ_02G2590	APD1	YBR151W	KLMA_30575
SKDZ_02G2600	SPP381	YBR152W	NA
SKDZ_02G2610	RIB7	YBR153W	KLMA_40225
SKDZ_02G2620	RPB5	YBR154C	KLMA_40224
SKDZ_02G2630	CNS1	YBR155W	KLMA_30350
SKDZ_02G2640	SLI15	YBR156C	KLMA_30351
SKDZ_02G2650	ICS2	YBR157C	KLMA_30353
SKDZ_02G2660	AMN1	YBR158W	KLMA_30355
SKDZ_02G2670	IFA38	YBR159W	KLMA_30357
SKDZ_02G2680	CDC28	YBR160W	KLMA_30358
SKDZ_02G2690	CSH1	YBR161W	KLMA_30359
SKDZ_02G2700	TOS1	YBR162C	KLMA_30360
SKDZ_02G2710	YSY6	YBR162W-A	KLMA_30361
SKDZ_02G2720	EXO5	YBR163W	KLMA_30364
SKDZ_02G2730	ARL1	YBR164C	KLMA_10821
SKDZ_02G2740	UBS1	YBR165W	KLMA_10820
SKDZ_02G2750	TYR1	YBR166C	KLMA_10819
SKDZ_02G2760	POP7	YBR167C	KLMA_10816
SKDZ_02G2770	PEX32	YBR168W	KLMA_10815
SKDZ_02G2780	SSE2	YBR169C	NA
SKDZ_02G2790	NPL4	YBR170C	KLMA_10812
SKDZ_02G2800	SEC66	YBR171W	KLMA_10811
SKDZ_02G2810	SMY2	YBR172C	NA
SKDZ_02G2820	UMP1	YBR173C	KLMA_10809
SKDZ_02G2830	SWD3	YBR175W	KLMA_10808
SKDZ_02G2840	ECM31	YBR176W	KLMA_10804
SKDZ_02G2850	EHT1	YBR177C	KLMA_10795
SKDZ_02G2860	FZO1	YBR179C	KLMA_10794
SKDZ_02G2870	DTR1	YBR180W	KLMA_10789
SKDZ_02G2880	RPS6B	YBR181C	KLMA_10786
SKDZ_02G2890	SMP1	YBR182C	KLMA_10784
SKDZ_02G2900	YPC1	YBR183W	KLMA_10782
SKDZ_02G2910	YBR184W	YBR184W	NA
SKDZ_02G2920	MBA1	YBR185C	KLMA_10778
SKDZ_02G2930	PCH2	YBR186W	KLMA_10775
SKDZ_02G2940	GDT1	YBR187W	KLMA_10774
SKDZ_02G2950	NTC20	YBR188C	NA
SKDZ_02G2960	RPS9B	YBR189W	NA
SKDZ_02G2970	YBR191W-A	YBR191W-A	NA
SKDZ_02G2980	RIM2	YBR192W	KLMA_10768
SKDZ_02G2990	MED8	YBR193C	KLMA_10767
SKDZ_02G3000	AIM4	YBR194W	KLMA_10766
SKDZ_02G3010	MSI1	YBR195C	KLMA_10764
SKDZ_02G3020	PGI1	YBR196C	KLMA_10763
SKDZ_02G3030	YBR197C	YBR197C	NA
SKDZ_02G3040	TAF5	YBR198C	KLMA_10761
SKDZ_02G3050	KTR4	YBR199W	NA
SKDZ_02G3060	BEM1	YBR200W	KLMA_10755
SKDZ_02G3070	DER1	YBR201W	NA
SKDZ_02G3080	MCM7	YBR202W	KLMA_10748
SKDZ_02G3090	COS111	YBR203W	KLMA_10743
SKDZ_02G3100	LDH1	YBR204C	KLMA_10741
SKDZ_02G3110	KTR3	YBR205W	KLMA_10739
SKDZ_02G3120	FTH1	YBR207W	KLMA_40361
SKDZ_02G3130	DUR1,2	YBR208C	KLMA_40362
SKDZ_02G3150	ERV15	YBR210W	KLMA_10240
SKDZ_02G3160	AME1	YBR211C	NA
SKDZ_02G3170	NGR1	YBR212W	KLMA_10242
SKDZ_02G3180	MET8	YBR213W	KLMA_10243
SKDZ_02G3190	SDS24	YBR214W	KLMA_10245
SKDZ_02G3200	HPC2	YBR215W	KLMA_10249
SKDZ_02G3210	YBP1	YBR216C	KLMA_10250
SKDZ_02G3220	ATG12	YBR217W	KLMA_10251
SKDZ_02G3230	PYC2	YBR218C	KLMA_10253
SKDZ_02G3250	YBR220C	YBR220C	KLMA_20279
SKDZ_02G3260	PDB1	YBR221C	KLMA_20278
SKDZ_02G3270	PCS60	YBR222C	NA
SKDZ_02G3290	TDP1	YBR223C	KLMA_20277
SKDZ_02G3300	YBR225W	YBR225W	KLMA_20275
SKDZ_02G3310	MCX1	YBR227C	KLMA_20274
SKDZ_02G3320	SLX1	YBR228W	KLMA_20273
SKDZ_02G3330	ROT2	YBR229C	KLMA_20272
SKDZ_02G3340	OM14	YBR230C	KLMA_20269
SKDZ_02G3350	YBR230W-A	YBR230W-A	NA
SKDZ_02G3360	SWC5	YBR231C	KLMA_20227
SKDZ_02G3380	PBP2	YBR233W	KLMA_20228
SKDZ_02G3390	DAD3	YBR233W-A	KLMA_20231
SKDZ_02G3400	ARC40	YBR234C	KLMA_20232
SKDZ_02G3420	ABD1	YBR236C	KLMA_20236
SKDZ_02G3430	PRP5	YBR237W	KLMA_20237
SKDZ_02G3440	YBR238C	YBR238C	KLMA_20239
SKDZ_02G3450	ERT1	YBR239C	KLMA_20241
SKDZ_02G3460	THI2	YBR240C	NA
SKDZ_02G3470	YBR241C	YBR241C	KLMA_20402
SKDZ_02G3480	YBR242W	YBR242W	KLMA_20404
SKDZ_02G3490	ALG7	YBR243C	KLMA_20405
SKDZ_02G3500	GPX2	YBR244W	KLMA_20407
SKDZ_02G3510	ISW1	YBR245C	KLMA_20408
SKDZ_02G3520	RRT2	YBR246W	NA
SKDZ_02G3530	ENP1	YBR247C	KLMA_20411
SKDZ_02G3540	HIS7	YBR248C	KLMA_20413
SKDZ_02G3550	ARO4	YBR249C	KLMA_20414
SKDZ_02G3560	SPO23	YBR250W	KLMA_30332
SKDZ_02G3570	MRPS5	YBR251W	KLMA_70308
SKDZ_02G3580	DUT1	YBR252W	KLMA_50459
SKDZ_02G3590	SRB6	YBR253W	KLMA_50460
SKDZ_02G3600	TRS20	YBR254C	KLMA_50462
SKDZ_02G3610	MTC4	YBR255W	KLMA_50463
SKDZ_02G3620	YBR255C-A	YBR255C-A	KLMA_50464
SKDZ_02G3630	RIB5	YBR256C	KLMA_50467
SKDZ_02G3640	POP4	YBR257W	KLMA_50094
SKDZ_02G3650	SHG1	YBR258C	KLMA_50093
SKDZ_02G3660	YBR259W	YBR259W	NA
SKDZ_02G3670	RGD1	YBR260C	KLMA_50090
SKDZ_02G3680	TAE1	YBR261C	KLMA_50089
SKDZ_02G3700	SHM1	YBR263W	KLMA_50050
SKDZ_02G3710	YPT10	YBR264C	KLMA_50051
SKDZ_02G3720	TSC10	YBR265W	KLMA_50073
SKDZ_02G3730	REI1	YBR267W	KLMA_50072
SKDZ_02G3740	MRPL37	YBR268W	NA
SKDZ_02G3760	BIT2	YBR270C	KLMA_50064
SKDZ_02G3770	EFM2	YBR271W	KLMA_20453
SKDZ_02G3780	HSM3	YBR272C	KLMA_50056
SKDZ_02G3790	UBX7	YBR273C	KLMA_50054
SKDZ_02G3800	CHK1	YBR274W	KLMA_50053
SKDZ_02G3810	RIF1	YBR275C	KLMA_50052
SKDZ_02G3820	PPS1	YBR276C	KLMA_50077
SKDZ_02G3830	DPB3	YBR278W	NA
SKDZ_02G3840	PAF1	YBR279W	KLMA_50081
SKDZ_02G3850	SAF1	YBR280C	KLMA_50083
SKDZ_02G3860	DUG2	YBR281C	KLMA_50084
SKDZ_02G3870	MRPL27	YBR282W	KLMA_50086
SKDZ_02G3880	SSH1	YBR283C	KLMA_50087
SKDZ_02G3890	YBR284W	YBR284W	NA
SKDZ_02G3900	YBR285W	YBR285W	NA
SKDZ_02G3910	APE3	YBR286W	KLMA_20821
SKDZ_02G3920	YBR287W	YBR287W	KLMA_20823
SKDZ_02G3930	APM3	YBR288C	KLMA_60342
SKDZ_02G3940	SNF5	YBR289W	KLMA_60341
SKDZ_02G3950	BSD2	YBR290W	KLMA_60340
SKDZ_02G3960	CTP1	YBR291C	KLMA_60339
SKDZ_02G3970	VBA2	YBR293W	KLMA_70013
SKDZ_02G3980	SUL1	YBR294W	KLMA_40147
SKDZ_02G3990	PCA1	YBR295W	NA
SKDZ_02G4000	PHO89	YBR296C	KLMA_60556
SKDZ_03G0020	CAD1	YDR423C	NA
SKDZ_03G0040	GIT1	YCR098C	NA
SKDZ_03G0050	YCL068C	YCL068C	NA
SKDZ_03G0060	HMLALPHA2	YCL067C	KLMA_10015
SKDZ_03G0070	HMLALPHA1	YCL066W	NA
SKDZ_03G0080	CHA1	YCL064C	KLMA_10018
SKDZ_03G0090	VAC17	YCL063W	KLMA_10020
SKDZ_03G0100	MRC1	YCL061C	KLMA_10021
SKDZ_03G0110	KRR1	YCL059C	KLMA_10022
SKDZ_03G0120	ADF1	YCL058W-A	NA
SKDZ_03G0140	PRD1	YCL057W	KLMA_10025
SKDZ_03G0150	PEX34	YCL056C	NA
SKDZ_03G0160	KAR4	YCL055W	KLMA_10029
SKDZ_03G0170	SPB1	YCL054W	KLMA_10031
SKDZ_03G0180	PBN1	YCL052C	KLMA_10032
SKDZ_03G0190	LRE1	YCL051W	NA
SKDZ_03G0200	APA1	YCL050C	NA
SKDZ_03G0210	YCL049C	YCL049C	NA
SKDZ_03G0220	YCL048W-A	YCL048W-A	NA
SKDZ_03G0230	SPS22	YCL048W	KLMA_10044
SKDZ_03G0240	POF1	YCL047C	NA
SKDZ_03G0250	EMC1	YCL045C	KLMA_10047
SKDZ_03G0270	MGR1	YCL044C	KLMA_10048
SKDZ_03G0280	PDI1	YCL043C	KLMA_10049
SKDZ_03G0290	GLK1	YCL040W	NA
SKDZ_03G0300	GID7	YCL039W	KLMA_10052
SKDZ_03G0310	ATG22	YCL038C	KLMA_10053
SKDZ_03G0320	SRO9	YCL037C	KLMA_10054
SKDZ_03G0330	GFD2	YCL036W	KLMA_10055
SKDZ_03G0330	GFD2	YCL036W	KLMA_10056
SKDZ_03G0340	GRX1	YCL035C	NA
SKDZ_03G0350	LSB5	YCL034W	KLMA_10059
SKDZ_03G0360	MXR2	YCL033C	KLMA_10060
SKDZ_03G0370	STE50	YCL032W	KLMA_10062
SKDZ_03G0380	RRP7	YCL031C	KLMA_10063
SKDZ_03G0390	HIS4	YCL030C	KLMA_10065
SKDZ_03G0400	BIK1	YCL029C	KLMA_10066
