# Ribosome biogenesis genes according to SGD
#
# Generated Thu Feb 14 10:38:30 2019
ORF	gene	description
YDR432W	NPL3	RNA-binding protein
YGL111W	NSA1	Constituent of 66S pre-ribosomal particles
YER126C	NSA2	Protein constituent of 66S pre-ribosomal particles
YER006W	NUG1	GTPase that associates with nuclear 60S pre-ribosomes
YOR145C	PNO1	Essential nucleolar protein required for pre-18S rRNA processing
YDR496C	PUF6	Pumilio-homology domain protein
YOR243C	PUS7	Pseudouridine synthase
YLR196W	PWP1	Protein with WD-40 repeats involved in rRNA processing
YCR057C	PWP2	Conserved 90S pre-ribosomal component
YGR280C	PXR1	Essential protein involved in rRNA and snoRNA maturation
YOL010W	RCL1	Endonuclease that cleaves pre-rRNA at site A2 for 18S rRNA biogenesis
YLR387C	REH1	Cytoplasmic 60S subunit biogenesis factor
YBR267W	REI1	Cytoplasmic pre-60S factor
YOL080C	REX4	Putative RNA exonuclease
YNL163C	RIA1	Cytoplasmic GTPase/eEF2-like factor involved in ribosomal biogenesis
YOR119C	RIO1	Serine kinase involved in cell cycle regulation and rDNA integrity
YNL207W	RIO2	Essential serine kinase involved in the processing of 20S pre-rRNA
YHR197W	RIX1	Component of the Rix1 complex and possibly pre-replicative complexes
YLL034C	RIX7	Putative ATPase of the AAA family
YPL208W	RKM1	SET-domain lysine-N-methyltransferase
YDR198C	RKM2	Ribosomal protein lysine methyltransferase
YDR091C	RLI1	Essential Fe-S protein
YLR009W	RLP24	Essential protein required for ribosomal large subunit biogenesis
YNL002C	RLP7	Nucleolar protein similar to large ribosomal subunit L7 proteins
YGR276C	RNH70	3'-5' exoribonuclease
YLL046C	RNP1	Ribonucleoprotein that contains two RNA recognition motifs (RRM)
YGL171W	ROK1	RNA-dependent ATPase
YJR063W	RPA12	RNA polymerase I subunit A12.2
YPR010C	RPA135	RNA polymerase I second largest subunit A135
YDR156W	RPA14	RNA polymerase I subunit A14
YOR341W	RPA190	RNA polymerase I largest subunit A190
YJL148W	RPA34	RNA polymerase I subunit A34.5
YOR340C	RPA43	RNA polymerase I subunit A43
YNL248C	RPA49	RNA polymerase I subunit A49
YOR210W	RPB10	RNA polymerase subunit ABC10-beta
YBR154C	RPB5	RNA polymerase subunit ABC27
YOR224C	RPB8	RNA polymerase subunit ABC14.5
YHR143W-A	RPC10	RNA polymerase subunit ABC10-alpha, found in RNA pol I, II, and III
YNL113W	RPC19	RNA polymerase subunit AC19
YPR110C	RPC40	RNA polymerase subunit AC40
YHR088W	RPF1	Protein involved in assembly and export of the large ribosomal subunit
YKR081C	RPF2	Essential protein involved in rRNA maturation and ribosomal assembly
YER056C-A	RPL34A	Ribosomal 60S subunit protein L34A
YIL052C	RPL34B	Ribosomal 60S subunit protein L34B
YIL148W	RPL40A	Ubiquitin-ribosomal 60S subunit protein L40A fusion protein
YKR094C	RPL40B	Ubiquitin-ribosomal 60S subunit protein L40B fusion protein
YHL033C	RPL8A	Ribosomal 60S subunit protein L8A
YLL045C	RPL8B	Ribosomal 60S subunit protein L8B
YPR187W	RPO26	RNA polymerase subunit ABC23
YLR340W	RPP0	Conserved ribosomal protein P0 of the ribosomal stalk
YGR214W	RPS0A	Ribosomal 40S subunit protein S0A
YLR048W	RPS0B	Protein component of the small (40S) ribosomal subunit
YCR031C	RPS14A	Protein component of the small (40S) ribosomal subunit
YJL191W	RPS14B	Protein component of the small (40S) ribosomal subunit
YOL040C	RPS15	Protein component of the small (40S) ribosomal subunit
YOL121C	RPS19A	Protein component of the small (40S) ribosomal subunit
YNL302C	RPS19B	Protein component of the small (40S) ribosomal subunit
YGL123W	RPS2	Protein component of the small (40S) subunit
YLR167W	RPS31	Fusion protein cleaved to yield ribosomal protein S31 and ubiquitin
YPL090C	RPS6A	Protein component of the small (40S) ribosomal subunit
YBR181C	RPS6B	Protein component of the small (40S) ribosomal subunit
YOR096W	RPS7A	Protein component of the small (40S) ribosomal subunit
YNL096C	RPS7B	Protein component of the small (40S) ribosomal subunit
YPL081W	RPS9A	Protein component of the small (40S) ribosomal subunit
YBR189W	RPS9B	Protein component of the small (40S) ribosomal subunit
YMR131C	RRB1	Specific chaperone for ribosomal protein Rpl3p
YPL012W	RRP12	Protein required for export of the ribosomal subunits
YKL082C	RRP14	Essential protein, constituent of 66S pre-ribosomal particles
YPR143W	RRP15	Nucleolar protein
YDR412W	RRP17	Component of the pre-60S pre-ribosomal particle
YHR065C	RRP3	Protein involved in rRNA processing
YOR287C	RRP36	Component of 90S preribosomes
YMR229C	RRP5	RNA binding protein involved in synthesis of 18S and 5.8S rRNAs
YCL031C	RRP7	Essential protein involved in rRNA processing and ribosome biogenesis
YPR137W	RRP9	Protein involved in pre-rRNA processing
YOR294W	RRS1	Essential protein that binds ribosomal protein L11
YPL193W	RSA1	Protein involved in the assembly of 60S ribosomal subunits
YLR221C	RSA3	Protein with a likely role in ribosomal maturation
YCR072C	RSA4	WD-repeat protein involved in ribosome biogenesis
YHR087W	RTC3	Protein of unknown function involved in RNA metabolism
YPL183W-A	RTC6	Protein involved in translation
YDL153C	SAS10	Subunit of U3-containing Small Subunit (SSU) processome complex
YGR245C	SDA1	Protein required for actin organization and passage through Start
YLR022C	SDO1	Guanine nucleotide exchange factor (GEF) for Ria1p
YKR043C	SHB17	Sedoheptulose bisphosphatase involved in riboneogenesis
YGR081C	SLX9	Protein required for pre-rRNA processing
YEL026W	SNU13	RNA binding protein
YLL011W	SOF1	Protein required for biogenesis of 40S (small) ribosomal subunit
YCL054W	SPB1	AdoMet-dependent methyltransferase
YFL002C	SPB4	Putative ATP-dependent RNA helicase
YDL229W	SSB1	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone
YHR066W	SSF1	Constituent of 66S pre-ribosomal particles
YDR312W	SSF2	Protein required for ribosomal large subunit maturation
YNL081C	SWS2	Putative mitochondrial ribosomal protein of the small subunit
YDL063C	SYO1	Transport adaptor or symportin
YPR016C	TIF6	Constituent of 66S pre-ribosomal particles
YIL137C	TMA108	Ribosome-associated, nascent chain binding factor
YER007C-A	TMA20	Protein of unknown function that associates with ribosomes
YMR269W	TMA23	Nucleolar protein implicated in ribosome biogenesis
YJR066W	TOR1	PIK-related protein kinase and rapamycin target
YKL203C	TOR2	PIK-related protein kinase and rapamycin target
YDL060W	TSR1	Protein required for processing of 20S pre-rRNA in the cytoplasm
YOR006C	TSR3	Protein required for 20S pre-rRNA processing
YKL014C	URB1	Protein required for the normal accumulation of 25S and 5.8S rRNAs
YJR041C	URB2	Protein required for normal metabolism of the rRNA primary transcript
YJL109C	UTP10	Nucleolar protein
YKL099C	UTP11	Subunit of U3-containing Small Subunit (SSU) processome complex
YLR222C	UTP13	Nucleolar protein
YML093W	UTP14	Subunit of U3-containing Small Subunit (SSU) processome complex
YMR093W	UTP15	Nucleolar protein
YJL069C	UTP18	Small-subunit processome protein involved in pre-18S rRNA maturation
YBL004W	UTP20	Component of the small-subunit (SSU) processome
YLR409C	UTP21	Subunit of U3-containing 90S preribosome and SSU processome complexes
YGR090W	UTP22	Component of the small-subunit processome
YOR004W	UTP23	Component of the small subunit processome
YIL091C	UTP25	Nucleolar protein
YKR060W	UTP30	Putative subunit of U3-containing 90S preribosome complex
YDR324C	UTP4	Subunit of U3-containing 90S preribosome and SSU processome complexes
YDR398W	UTP5	Subunit of U3-containing Small Subunit (SSU) processome complex
YDR449C	UTP6	Nucleolar protein
YER082C	UTP7	Nucleolar protein
YGR128C	UTP8	Nucleolar protein required for export of tRNAs from the nucleus
YHR196W	UTP9	Nucleolar protein
YOR272W	YTM1	Constituent of 66S pre-ribosomal particles
