accession	kmORF
W0TFG9	KLMA_80061
W0TFK5	KLMA_60320
W0TFN1	KLMA_70337
W0TFR6	KLMA_50290
W0TFT2	KLMA_80186
W0TFU0	KLMA_50315
W0TFZ4	KLMA_70130
W0TFZ5	KLMA_50375
W0TG09	KLMA_70150
W0TG35	KLMA_70185
W0TG93	KLMA_80059
W0TG97	KLMA_80361
W0TGH6	KLMA_80149
W0TGM4	KLMA_50610
W0TGV0	KLMA_80299
W0TGY8	KLMA_80002
W0TH80	KLMA_80102
W0TH92	KLMA_70338
W0THH3	KLMA_80207
W0TI13	KLMA_80397
W0TID5	KLMA_70046
W0TJI8	KLMA_70446
W0TKL8	KLMA_80408
A0A1L7LMB5	KLMA_10838
A0A1L7LMC3	KLMA_90012
A1IIA3	
A1IIA4	
W0T264	KLMA_10035
W0T289	KLMA_10060
W0T2A3	KLMA_10075
W0T2G2	KLMA_10135
W0T2K3	KLMA_10165
W0T2L5	KLMA_10180
W0T2L7	KLMA_10185
W0T2N2	KLMA_10053
W0T2N7	KLMA_10210
W0T2P1	KLMA_10215
W0T2P5	KLMA_10220
W0T2P8	KLMA_10225 KLMA_50134
W0T2Q5	KLMA_10073
W0T2S5	KLMA_10093
W0T2S6	KLMA_10255
W0T2S9	KLMA_10260
W0T2T1	KLMA_10098
W0T2T3	KLMA_10265
W0T2T7	KLMA_10270
W0T2U3	KLMA_10108
W0T2U5	KLMA_10280
W0T2V1	KLMA_10285
W0T2W3	KLMA_10128
W0T2W5	KLMA_10300
W0T2Y2	KLMA_10320
W0T2Z0	KLMA_10153
W0T2Z6	KLMA_10158
W0T318	KLMA_10168
W0T321	KLMA_10365
W0T330	KLMA_10375
W0T342	KLMA_10390
W0T343	KLMA_10178
W0T346	KLMA_10395
W0T382	KLMA_10435
W0T394	KLMA_10450
W0T3A2	KLMA_10243
W0T3A6	KLMA_10248
W0T3B9	KLMA_10263
W0T3C7	KLMA_10273
W0T3E2	KLMA_10505
W0T3E7	KLMA_10510
W0T3F8	KLMA_10308
W0T3G4	KLMA_10313
W0T3H5	KLMA_10540
W0T3I6	KLMA_10550
W0T3J3	KLMA_10343
W0T3K1	KLMA_10353
W0T3L1	KLMA_10575
W0T3M2	KLMA_10378
W0T3M6	KLMA_10383
W0T3P3	KLMA_10046
W0T3P9	KLMA_10051
W0T3R1	KLMA_10418
W0T3T6	KLMA_10086
W0T3U0	KLMA_10645
W0T3U6	KLMA_10650
W0T3V0	KLMA_10655
W0T3V4	KLMA_10660
W0T3V6	KLMA_10463
W0T3W4	KLMA_10473
W0T3W6	KLMA_10116
W0T3X2	KLMA_10483
W0T3X8	KLMA_10488
W0T3Y8	KLMA_10670
W0T401	KLMA_10680
W0T411	KLMA_10690
W0T440	KLMA_10553
W0T449	KLMA_10563
W0T452	KLMA_10745
W0T459	KLMA_10181
W0T470	KLMA_10765
W0T472	KLMA_10196
W0T480	KLMA_10206
W0T485	KLMA_10780
W0T491	KLMA_10216
W0T492	KLMA_10024
W0T4A8	KLMA_10236
W0T4B1	KLMA_10623
W0T4B9	KLMA_10049
W0T4C3	KLMA_10633
W0T4D0	KLMA_10261
W0T4D1	KLMA_10059
W0T4D6	KLMA_10064
W0T4E3	KLMA_10653
W0T4E8	KLMA_10658
W0T4F1	KLMA_10079
W0T4F3	KLMA_10286
W0T4F5	KLMA_10663
W0T4G6	KLMA_10094
W0T4G8	KLMA_10306
W0T4H3	KLMA_10668
W0T4H6	KLMA_10104
W0T4H7	KLMA_10316
W0T4I1	KLMA_10109
W0T4J7	KLMA_10678
W0T4K6	KLMA_20084
W0T4K8	KLMA_10356
W0T4K9	KLMA_10693
W0T4L2	KLMA_10139
W0T4M1	KLMA_20099
W0T4M2	KLMA_10708
W0T4N1	KLMA_10718
W0T4N4	KLMA_10723
W0T4N5	KLMA_10159
W0T4N6	KLMA_20114
W0T4P4	KLMA_10396
W0T4P7	KLMA_20129
W0T4Q1	KLMA_10406
W0T4Q9	KLMA_10416
W0T4R5	KLMA_10763
W0T4S3	KLMA_20159
W0T4S5	KLMA_10436
W0T4T0	KLMA_10441
W0T4T1	KLMA_20169
W0T4T5	KLMA_10179
W0T4T6	KLMA_20174
W0T4T9	KLMA_10451
W0T4U3	KLMA_10456
W0T4U4	KLMA_20184
W0T4U6	KLMA_10189
W0T4U8	KLMA_10461
W0T4V5	KLMA_10199
W0T4W5	KLMA_10209
W0T4Z0	KLMA_10501
W0T4Z6	KLMA_20017
W0T4Z7	KLMA_10244
W0T504	KLMA_10516
W0T511	KLMA_10259
W0T515	KLMA_20037
W0T518	KLMA_20042
W0T519	KLMA_10531
W0T523	KLMA_20264
W0T528	KLMA_10541
W0T530	KLMA_20052
W0T531	KLMA_10284
W0T533	KLMA_10546
W0T534	KLMA_20057
W0T536	KLMA_10289
W0T537	KLMA_20062
W0T554	KLMA_10566
W0T557	KLMA_20299
W0T562	KLMA_20304
W0T563	KLMA_20092
W0T566	KLMA_10576
W0T579	KLMA_10334
W0T582	KLMA_20112
W0T5A2	KLMA_10616
W0T5A5	KLMA_10369
W0T5B1	KLMA_10626
W0T5B9	KLMA_10636
W0T5C3	KLMA_20162
W0T5C9	KLMA_20344
W0T5D1	KLMA_20172
W0T5D6	KLMA_10409
W0T5D7	KLMA_10656
W0T5D9	KLMA_20182
W0T5E0	KLMA_10414
W0T5E2	KLMA_20359
W0T5E7	KLMA_20192
W0T5F0	KLMA_20369
W0T5F2	KLMA_20374
W0T5F9	KLMA_10434
W0T5G0	KLMA_20207
W0T5G3	KLMA_10439
W0T5G4	KLMA_20212
W0T5G6	KLMA_20389
W0T5G7	KLMA_10444
W0T5H0	KLMA_20394
W0T5H3	KLMA_20399
W0T5H6	KLMA_20404
W0T5H9	KLMA_20227
W0T5I4	KLMA_20232
W0T5I6	KLMA_20414
W0T5I8	KLMA_10681
W0T5I9	KLMA_20237
W0T5J0	KLMA_20419
W0T5J9	KLMA_20429
W0T5K8	KLMA_20252
W0T5L0	KLMA_20439
W0T5L5	KLMA_10706
W0T5L7	KLMA_20449
W0T5M4	KLMA_10499
W0T5M6	KLMA_20267
W0T5N0	KLMA_10721
W0T5N4	KLMA_20464
W0T5N9	KLMA_10731
W0T5P0	KLMA_20469
W0T5Q1	KLMA_10524
W0T5Q3	KLMA_20484
W0T5Q8	KLMA_10751
W0T5R0	KLMA_20297
W0T5R2	KLMA_10756
W0T5S6	KLMA_10771
W0T5T0	KLMA_10549
W0T5T1	KLMA_20509
W0T5T6	KLMA_20514
W0T5U4	KLMA_10791
W0T5V1	KLMA_10569
W0T5V6	KLMA_10574
W0T5W7	KLMA_20549
W0T5X1	KLMA_20554
W0T5X5	KLMA_20559
W0T5Z1	KLMA_20015
W0T5Z5	KLMA_20584
W0T601	KLMA_20025
W0T614	KLMA_20040
W0T623	KLMA_20050
W0T624	KLMA_20382
W0T625	KLMA_10634
W0T626	KLMA_20614
W0T629	KLMA_20387
W0T638	KLMA_20624
W0T644	KLMA_20629
W0T647	KLMA_20407
W0T649	KLMA_20075
W0T651	KLMA_10659
W0T652	KLMA_20639
W0T655	KLMA_20417
W0T656	KLMA_20085
W0T657	KLMA_20644
W0T683	KLMA_20452
W0T691	KLMA_20462
W0T698	KLMA_10679
W0T6A1	KLMA_20472
W0T6A6	KLMA_20699
W0T6B0	KLMA_10689
W0T6B2	KLMA_10694
W0T6B3	KLMA_10022
W0T6B4	KLMA_20150
W0T6B8	KLMA_20492
W0T6B9	KLMA_20155
W0T6C1	KLMA_20714
W0T6C3	KLMA_20497
W0T6C5	KLMA_10032
W0T6C8	KLMA_20502
W0T6D0	KLMA_10037
W0T6D2	KLMA_10714
W0T6D4	KLMA_20729
W0T6D8	KLMA_20734
W0T6D9	KLMA_20512
W0T6E2	KLMA_10047
W0T6E4	KLMA_20739
W0T6F7	KLMA_20532
W0T6F8	KLMA_10744
W0T6G6	KLMA_20759
W0T6H0	KLMA_20764
W0T6H4	KLMA_20205
W0T6H6	KLMA_20552
W0T6H9	KLMA_20210
W0T6I2	KLMA_10774
W0T6I5	KLMA_20562
W0T6I7	KLMA_10779
W0T6I8	KLMA_20779
W0T6J1	KLMA_10784
W0T6J4	KLMA_20572
W0T6J9	KLMA_20577
W0T6K1	KLMA_20230
W0T6K4	KLMA_20582
W0T6K8	KLMA_10804
W0T6L9	KLMA_10117
W0T6M2	KLMA_10819
W0T6M5	KLMA_20814
W0T6N2	KLMA_20612
W0T6N3	KLMA_20260
W0T6N5	KLMA_10834
W0T6N6	KLMA_10132
W0T6N9	KLMA_10137
W0T6P0	KLMA_20265
W0T6P4	KLMA_20270
W0T6P7	KLMA_20632
W0T6Q2	KLMA_20829
W0T6Q7	KLMA_20028
W0T6R1	KLMA_20647
W0T6R2	KLMA_20038
W0T6R3	KLMA_20290
W0T6S2	KLMA_20048
W0T6S4	KLMA_20667
W0T6S6	KLMA_20305
W0T6S9	KLMA_20058
W0T6T7	KLMA_20682
W0T6U1	KLMA_20687
W0T6U3	KLMA_20320
W0T6U4	KLMA_20078
W0T6V2	KLMA_20088
W0T6V4	KLMA_20702
W0T6V7	KLMA_20093
W0T6W1	KLMA_20098
W0T6X1	KLMA_20722
W0T6X7	KLMA_30072
W0T6Y8	KLMA_20340
W0T6Y9	KLMA_20128
W0T6Z1	KLMA_30087
W0T6Z2	KLMA_20742
W0T6Z5	KLMA_20133
W0T6Z6	KLMA_30092
W0T6Z8	KLMA_20350
W0T706	KLMA_20143
W0T710	KLMA_30107
W0T716	KLMA_10252
W0T717	KLMA_20370
W0T718	KLMA_20153
W0T722	KLMA_30117
W0T723	KLMA_20158
W0T733	KLMA_20777
W0T735	KLMA_20168 KLMA_60119
W0T747	KLMA_20405
W0T748	KLMA_30142
W0T749	KLMA_20792
W0T753	KLMA_30147
W0T757	KLMA_20415
W0T758	KLMA_10302
W0T759	KLMA_30152
W0T761	KLMA_20802
W0T771	KLMA_10317
W0T773	KLMA_30162
W0T775	KLMA_10322
W0T778	KLMA_20817
W0T783	KLMA_10332
W0T789	KLMA_30182
W0T792	KLMA_20450
W0T7A6	KLMA_10357
W0T7B0	KLMA_30207
W0T7B4	KLMA_30212
W0T7C4	KLMA_30227
W0T7C7	KLMA_20263
W0T7D9	KLMA_20273
W0T7E5	KLMA_20278
W0T7F2	KLMA_20283
W0T7F7	KLMA_20288
W0T7F8	KLMA_30030
W0T7G2	KLMA_20293
W0T7H2	KLMA_30045
W0T7I5	KLMA_30060
W0T7I8	KLMA_30065
W0T7I9	KLMA_10442
W0T7J0	KLMA_20560
W0T7J1	KLMA_30297
W0T7J3	KLMA_30070
W0T7J6	KLMA_30075
W0T7J7	KLMA_30302
W0T7K1	KLMA_30080
W0T7K3	KLMA_20575
W0T7K4	KLMA_10457
W0T7K6	KLMA_30312
W0T7K9	KLMA_10462
W0T7L5	KLMA_30322
W0T7L6	KLMA_30100
W0T7M1	KLMA_10477
W0T7M3	KLMA_30110
W0T7M5	KLMA_10482
W0T7N1	KLMA_20333
W0T7N5	KLMA_20610
W0T7P2	KLMA_30130
W0T7Q1	KLMA_20353
W0T7Q4	KLMA_30362
W0T7R3	KLMA_30155
W0T7R5	KLMA_10522
W0T7R9	KLMA_30377
W0T7S0	KLMA_20373
W0T7S1	KLMA_10527
W0T7S7	KLMA_30170
W0T7S9	KLMA_20383
W0T7T2	KLMA_10537
W0T7T5	KLMA_30180
W0T7T7	KLMA_30392
W0T7U3	KLMA_20398
W0T7U4	KLMA_10547
W0T7U5	KLMA_30190
W0T7V1	KLMA_20675
W0T7V3	KLMA_20408
W0T7W0	KLMA_30205
W0T7W2	KLMA_20418
W0T7W4	KLMA_30417
W0T7W6	KLMA_30210
W0T7W8	KLMA_20695
W0T7W9	KLMA_10572
W0T7X0	KLMA_30422
W0T7Y5	KLMA_10587
W0T7Y6	KLMA_30437
W0T7Z1	KLMA_30235
W0T803	KLMA_30452
W0T804	KLMA_20468
W0T805	KLMA_30250
W0T807	KLMA_10607
W0T809	KLMA_20473
W0T810	KLMA_30255
W0T813	KLMA_20478
W0T818	KLMA_20483
W0T825	KLMA_30472
W0T827	KLMA_20493
W0T830	KLMA_30477
W0T833	KLMA_20498
W0T837	KLMA_20503
W0T841	KLMA_30290
W0T847	KLMA_20770
W0T850	KLMA_30300
W0T855	KLMA_20528
W0T858	KLMA_20785
W0T867	KLMA_20795
W0T871	KLMA_20553
W0T874	KLMA_30497
W0T876	KLMA_30502
W0T880	KLMA_30507
W0T884	KLMA_10667
W0T887	KLMA_20815
W0T897	KLMA_10672
W0T899	KLMA_30527
W0T8A3	KLMA_30532
W0T8A5	KLMA_30537
W0T8A7	KLMA_10682
W0T8A8	KLMA_20598
W0T8A9	KLMA_30370
W0T8B4	KLMA_20603
W0T8B7	KLMA_10692
W0T8B9	KLMA_30380
W0T8C0	KLMA_30562
W0T8C3	KLMA_30567
W0T8C4	KLMA_30385
W0T8D1	KLMA_30390
W0T8D2	KLMA_20623
W0T8D3	KLMA_30582
W0T8D8	KLMA_10717
W0T8D9	KLMA_30587
W0T8E2	KLMA_30400
W0T8E4	KLMA_30592
W0T8F0	KLMA_10732
W0T8F1	KLMA_30602
W0T8F6	KLMA_30607
W0T8G0	KLMA_30612
W0T8G5	KLMA_30420
W0T8H4	KLMA_30038
W0T8H8	KLMA_30043
W0T8I2	KLMA_10767
W0T8I6	KLMA_30440
W0T8I7	KLMA_10772
W0T8J2	KLMA_30058
W0T8J5	KLMA_20683
W0T8J9	KLMA_30652
W0T8K2	KLMA_20688
W0T8L0	KLMA_10797
W0T8L2	KLMA_20698
W0T8L3	KLMA_30667
W0T8L5	KLMA_30083
W0T8L6	KLMA_10802
W0T8M3	KLMA_10812
W0T8M4	KLMA_20708
W0T8M9	KLMA_20713
W0T8N1	KLMA_30687
W0T8N2	KLMA_30480
W0T8N5	KLMA_30103
W0T8N7	KLMA_30485
W0T8P1	KLMA_30697
W0T8P2	KLMA_10832
W0T8Q2	KLMA_30712
W0T8Q3	KLMA_30123
W0T8Q7	KLMA_30128
W0T8R1	KLMA_30722
W0T8R5	KLMA_30727
W0T8S1	KLMA_20031
W0T8S2	KLMA_30148
W0T8S6	KLMA_30153
W0T8S7	KLMA_40013
W0T8S9	KLMA_30158
W0T8T0	KLMA_20041
W0T8T2	KLMA_20768
W0T8T3	KLMA_30500
W0T8T4	KLMA_30163
W0T8T6	KLMA_20046
W0T8T8	KLMA_30505
W0T8U1	KLMA_20051
W0T8U2	KLMA_20778
W0T8V2	KLMA_30515
W0T8V9	KLMA_40048
W0T8W5	KLMA_30198
W0T8W7	KLMA_30530
W0T8W8	KLMA_20081
W0T8X3	KLMA_20086
W0T8X5	KLMA_30540
W0T8Y0	KLMA_20091
W0T8Y4	KLMA_40073
W0T8Z1	KLMA_20101
W0T900	KLMA_20111
W0T902	KLMA_30238
W0T903	KLMA_40093
W0T906	KLMA_30243
W0T910	KLMA_30248
W0T912	KLMA_20828
W0T919	KLMA_30595
W0T921	KLMA_20136
W0T922	KLMA_40113
W0T923	KLMA_30600
W0T930	KLMA_30610
W0T931	KLMA_20146
W0T933	KLMA_40123
W0T935	KLMA_30615
W0T942	KLMA_30011
W0T946	KLMA_30283
W0T955	KLMA_30293
W0T965	KLMA_20181
W0T971	KLMA_30655
W0T977	KLMA_30046
W0T978	KLMA_20196
W0T983	KLMA_20201
W0T986	KLMA_40168
W0T988	KLMA_30328
W0T997	KLMA_40178
W0T9A4	KLMA_40183
W0T9A7	KLMA_30695
W0T9A8	KLMA_30348
W0T9B6	KLMA_20231
W0T9B9	KLMA_40198
W0T9D0	KLMA_30720
W0T9D1	KLMA_30106
W0T9D3	KLMA_20246
W0T9D6	KLMA_30111
W0T9D7	KLMA_30373
W0T9E2	KLMA_20256
W0T9E3	KLMA_30378
W0T9E9	KLMA_40011
W0T9F0	KLMA_40228
W0T9F3	KLMA_30388
W0T9F9	KLMA_30393
W0T9G3	KLMA_30136
W0T9G7	KLMA_40031
W0T9G9	KLMA_30403
W0T9H0	KLMA_40248
W0T9H3	KLMA_40253
W0T9H5	KLMA_20286
W0T9H7	KLMA_30413
W0T9H8	KLMA_40258
W0T9I2	KLMA_30418
W0T9I4	KLMA_40046
W0T9I9	KLMA_20301
W0T9J1	KLMA_30171
W0T9J2	KLMA_20306
W0T9J3	KLMA_30428
W0T9J5	KLMA_30176
W0T9J6	KLMA_40263
W0T9K0	KLMA_40066
W0T9L1	KLMA_30196
W0T9L3	KLMA_40273
W0T9L4	KLMA_30448
W0T9L8	KLMA_40278
W0T9M1	KLMA_30211
W0T9M5	KLMA_40101
W0T9M6	KLMA_40283
W0T9M7	KLMA_20331
W0T9N4	KLMA_40111
W0T9N5	KLMA_30468
W0T9N6	KLMA_30231
W0T9P1	KLMA_40303
W0T9P2	KLMA_40121
W0T9P5	KLMA_30478
W0T9P8	KLMA_40126
W0T9Q1	KLMA_20341
W0T9Q2	KLMA_40318
W0T9Q7	KLMA_20346
W0T9R1	KLMA_20351
W0T9R7	KLMA_30266
W0T9R9	KLMA_40338
W0T9S2	KLMA_30271
W0T9S4	KLMA_40343
W0T9S6	KLMA_40156
W0T9S8	KLMA_20376
W0T9T1	KLMA_30281
W0T9T2	KLMA_20381
W0T9T5	KLMA_20386
W0T9U4	KLMA_40368
W0T9V2	KLMA_20406
W0T9W1	KLMA_40191
W0T9W3	KLMA_40388
W0T9W8	KLMA_20426
W0T9X0	KLMA_30523
W0T9X2	KLMA_40398
W0T9X8	KLMA_40206
W0T9Y6	KLMA_20446
W0T9Z0	KLMA_30336
W0T9Z2	KLMA_40418
W0T9Z3	KLMA_30548
W0T9Z7	KLMA_30341
W0TA07	KLMA_40231
W0TA09	KLMA_30563
W0TA12	KLMA_40236
W0TA13	KLMA_20476
W0TA16	KLMA_30361
W0TA18	KLMA_30573
W0TA20	KLMA_40448
W0TA23	KLMA_30578
W0TA25	KLMA_40453
W0TA32	KLMA_30588
W0TA34	KLMA_20496
W0TA38	KLMA_40468
W0TA47	KLMA_40478
W0TA57	KLMA_20521
W0TA62	KLMA_20526
W0TA64	KLMA_40498
W0TA79	KLMA_20551
W0TA80	KLMA_30643
W0TA94	KLMA_20566
W0TA95	KLMA_30658
W0TA96	KLMA_40286
W0TA99	KLMA_20571
W0TAB1	KLMA_20586
W0TAB5	KLMA_30461
W0TAB9	KLMA_30466
W0TAC7	KLMA_40316
W0TAE2	KLMA_30486
W0TAE6	KLMA_20616
W0TAE7	KLMA_40341
W0TAF8	KLMA_40603
W0TAG0	KLMA_30491
W0TAG3	KLMA_40608
W0TAG6	KLMA_40004
W0TAG9	KLMA_40371
W0TAH2	KLMA_20646
W0TAH6	KLMA_40381
W0TAI6	KLMA_40391
W0TAI8	KLMA_40029
W0TAJ4	KLMA_50013
W0TAK1	KLMA_30516
W0TAK2	KLMA_20676
W0TAK3	KLMA_40044
W0TAK5	KLMA_30521
W0TAK9	KLMA_40049
W0TAL0	KLMA_30526
W0TAL4	KLMA_40054
W0TAL6	KLMA_40426
W0TAM0	KLMA_30536
W0TAM2	KLMA_50038
W0TAM7	KLMA_50043
W0TAN1	KLMA_40441
W0TAN2	KLMA_50048
W0TAN3	KLMA_30551
W0TAN4	KLMA_40074
W0TAN6	KLMA_20706
W0TAN7	KLMA_30556
W0TAQ7	KLMA_20726
W0TAQ9	KLMA_40471
W0TAR1	KLMA_20731
W0TAR3	KLMA_40104
W0TAR8	KLMA_40481
W0TAR9	KLMA_40109
W0TAS3	KLMA_40486
W0TAS4	KLMA_40114
W0TAS7	KLMA_50088
W0TAU1	KLMA_30616
W0TAU2	KLMA_40506
W0TAU4	KLMA_20761
W0TAU6	KLMA_30621
W0TAU8	KLMA_40139
W0TAU9	KLMA_20766
W0TAV1	KLMA_30626
W0TAV5	KLMA_50113
W0TAW2	KLMA_50118
W0TAX1	KLMA_30646
W0TAX3	KLMA_50128
W0TAX5	KLMA_20791
W0TAX6	KLMA_30651
W0TAX8	KLMA_40546
W0TAY6	KLMA_40556
W0TAZ1	KLMA_30671
W0TAZ2	KLMA_20811
W0TAZ7	KLMA_20816
W0TAZ8	KLMA_40571
W0TB00	KLMA_30681
W0TB02	KLMA_20821
W0TB15	KLMA_40596
W0TB21	KLMA_40224
W0TB22	KLMA_30711
W0TB23	KLMA_50143
W0TB24	KLMA_40606
W0TB28	KLMA_40611
W0TB30	KLMA_40234
W0TB33	KLMA_30726
W0TB39	KLMA_40244
W0TB40	KLMA_50168
W0TB44	KLMA_40249
W0TB46	KLMA_40012
W0TB47	KLMA_50178
W0TB49	KLMA_50006
W0TB52	KLMA_40259
W0TB60	KLMA_50016
W0TB61	KLMA_30009
W0TB67	KLMA_40037
W0TB73	KLMA_30024
W0TB78	KLMA_30029
W0TB79	KLMA_50036
W0TB80	KLMA_50223
W0TB83	KLMA_30039
W0TB84	KLMA_50228
W0TB85	KLMA_50041
W0TB87	KLMA_30044
W0TB91	KLMA_30049
W0TB92	KLMA_50238
W0TB96	KLMA_50243
W0TB97	KLMA_40072
W0TB98	KLMA_30059
W0TBA0	KLMA_50248
W0TBA2	KLMA_30064
W0TBB3	KLMA_50071
W0TBB5	KLMA_40274
W0TBB8	KLMA_50273
W0TBC6	KLMA_40102
W0TBC7	KLMA_50283
W0TBD2	KLMA_40107
W0TBD3	KLMA_30099
W0TBD6	KLMA_50293
W0TBE5	KLMA_30114
W0TBE8	KLMA_40122
W0TBF1	KLMA_50308
W0TBF2	KLMA_50106
W0TBF3	KLMA_40309
W0TBF6	KLMA_30124
W0TBG5	KLMA_30134
W0TBG7	KLMA_40324
W0TBH1	KLMA_30139
W0TBH2	KLMA_50126
W0TBH5	KLMA_50333
W0TBI1	KLMA_30149
W0TBI3	KLMA_30154
W0TBI7	KLMA_50348
W0TBJ2	KLMA_30164
W0TBJ4	KLMA_40167
W0TBJ5	KLMA_10229 KLMA_50136
W0TBJ6	KLMA_50358
W0TBK0	KLMA_50363
W0TBK3	KLMA_40177
W0TBK7	KLMA_40182
W0TBK8	KLMA_50373
W0TBK9	KLMA_30184
W0TBL3	KLMA_40379
W0TBM3	KLMA_30204
W0TBM5	KLMA_50393
W0TBM7	KLMA_30209
W0TBM8	KLMA_40399
W0TBN0	KLMA_40207
W0TBN3	KLMA_50403
W0TBN6	KLMA_50141
W0TBP0	KLMA_50146
W0TBP1	KLMA_40217
W0TBP4	KLMA_40419
W0TBP6	KLMA_30229
W0TBQ4	KLMA_50161
W0TBR0	KLMA_40434
W0TBS0	KLMA_40444
W0TBS7	KLMA_50186
W0TBS8	KLMA_40252
W0TBT0	KLMA_40454
W0TBT4	KLMA_50196
W0TBT5	KLMA_40459
W0TBT7	KLMA_30269
W0TBT9	KLMA_30274
W0TBU5	KLMA_40469
W0TBU7	KLMA_30284
W0TBV1	KLMA_50216
W0TBV7	KLMA_50226
W0TBW0	KLMA_30299
W0TBW1	KLMA_50231
W0TBW7	KLMA_50488
W0TBW9	KLMA_50241
W0TBX1	KLMA_50493
