accession	kmORF	orth_num	ORF	gene	species
W0T3J7	KLMA_10001	orth23	YJR029W	NA	Kmarx
W0T3J7	KLMA_10001	orth24	YLR035C-A	NA	Kmarx
W0T3J7	KLMA_10001	orth25	YLR157C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth26	YLR227W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth27	YLR410W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth28	YML039W	NA	Kmarx
W0T3J7	KLMA_10001	orth29	YML045W	NA	Kmarx
W0T3J7	KLMA_10001	orth30	YMR045C	NA	Kmarx
W0T3J7	KLMA_10001	orth31	YMR050C	NA	Kmarx
W0T3J7	KLMA_10001	orth32	YNL284C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth33	YOL103W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth34	YOR142W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth35	YOR192C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth36	YOR343W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth37	YPL257W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth38	YPR137C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth39	YPR158C-D	NA	Kmarx
W0T3J7	KLMA_10001	orth40	YPR158W-B	NA	Kmarx
W0T3M8	KLMA_10031	orth1	YCL054W	SPB1	Kmarx
W0T3N3	KLMA_10595	orth1	YPR016C	TIF6	Kmarx
W0T3R8	KLMA_10625	orth1	YLR423C	ATG17	Kmarx
W0T3U2	KLMA_10091	orth1	YLR189C	ATG26	Kmarx
W0T3V9	KLMA_10468	orth1	YGR256W	GND2	Kmarx
W0T3V9	KLMA_10468	orth2	YHR183W	GND1	Kmarx
W0T3X7	KLMA_10126	orth1	YNL256W	FOL1	Kmarx
W0T3Y2	KLMA_10493	orth1	YMR293C	HER2	Kmarx
W0T423	KLMA_10705	orth1	YEL038W	UTR4	Kmarx
W0T453	KLMA_10176	orth1	YOL061W	PRS5	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth1	YAR009C	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth2	YBL005W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth3	YBL100W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth4	YBR012W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth5	YCL019W	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth6	YDR034C-D	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth7	YDR098C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth8	YDR210C-D	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth9	YDR210W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth10	YDR261C-D	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth11	YDR261W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth12	YDR316W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth13	YDR365W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth14	YER138C	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth15	YER160C	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth16	YFL002W-A	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth17	YGR027W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth18	YGR038C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth19	YGR161C-D	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth20	YGR161W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth21	YHR214C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth22	YJR027W	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth23	YJR029W	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth24	YLR035C-A	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth25	YLR157C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth26	YLR227W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth27	YLR410W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth28	YML039W	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth29	YML045W	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth30	YMR045C	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth31	YMR050C	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth32	YNL284C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth33	YOL103W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth34	YOR142W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth35	YOR192C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth36	YOR343W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth37	YPL257W-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth38	YPR137C-B	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth39	YPR158C-D	NA	Kmarx
W0T465	KLMA_10760 KLMA_20185	orth40	YPR158W-B	NA	Kmarx
W0T4A4	KLMA_10231	orth1	YLR299W	ECM38	Kmarx
W0T4C1	KLMA_10251	orth1	YBR217W	ATG12	Kmarx
W0T4J0	KLMA_10336	orth1	YGR244C	LSC2	Kmarx
W0T4J4	KLMA_10341	orth1	YGR240C	PFK1	Kmarx
W0T4Q4	KLMA_10748	orth1	YBR202W	MCM7	Kmarx
W0T4Q6	KLMA_20139	orth1	YKR024C	DBP7	Kmarx
W0T4W7	KLMA_20209	orth1	YPL153C	RAD53	Kmarx
W0T503	KLMA_20244	orth1	YNR041C	COQ2	Kmarx
W0T513	KLMA_20254	orth1	YGL201C	MCM6	Kmarx
W0T520	KLMA_10269	orth1	YOL006C	TOP1	Kmarx
W0T522	KLMA_10274	orth1	YMR284W	YKU70	Kmarx
W0T570	KLMA_10581	orth1	YML110C	COQ5	Kmarx
W0T5F5	KLMA_20202	orth1	YOR241W	MET7	Kmarx
W0T5H5	KLMA_10454	orth1	YGL006W	PMC1	Kmarx
W0T5K6	KLMA_10484	orth1	YMR290C	HAS1	Kmarx
W0T5M1	KLMA_20262	orth1	YER026C	CHO1	Kmarx
W0T5N8	KLMA_10514	orth1	YHR208W	BAT1	Kmarx
W0T5P4	KLMA_20474	orth1	YFR021W	ATG18	Kmarx
W0T609	KLMA_20035	orth1	YBL022C	PIM1	Kmarx
W0T661	KLMA_20649	orth1	YMR159C	ATG16	Kmarx
W0T6B6	KLMA_20709	orth1	YBR128C	ATG14	Kmarx
W0T6C7	KLMA_10709	orth1	YEL032W	MCM3	Kmarx
W0T6D1	KLMA_20165	orth1	YDR226W	ADK1	Kmarx
W0T6Q9	KLMA_10157	orth1	YCR036W	RBK1	Kmarx
W0T6R7	KLMA_20657	orth1	YDL093W	PMT5	Kmarx
W0T6R7	KLMA_20657	orth2	YDL095W	PMT1	Kmarx
W0T6T3	KLMA_20677	orth1	YDL104C	QRI7	Kmarx
W0T6Z0	KLMA_10222	orth1	YLR289W	GUF1	Kmarx
W0T776	KLMA_20208	orth1	YOR245C	DGA1	Kmarx
W0T785	KLMA_20445	orth1	YHR111W	UBA4	Kmarx
W0T7F0	KLMA_10402	orth1	YKR089C	TGL4	Kmarx
W0T7G3	KLMA_30035	orth1	YJR073C	OPI3	Kmarx
W0T7I7	KLMA_30292	orth1	YER170W	ADK2	Kmarx
W0T7K2	KLMA_30307	orth1	YGL171W	ROK1	Kmarx
W0T7M0	KLMA_30105	orth1	YMR108W	ILV2	Kmarx
W0T7M6	KLMA_20600	NA	NA	NA	Kmarx
W0T7P9	KLMA_30357	orth1	YBR159W	IFA38	Kmarx
W0T7R1	KLMA_20363	orth1	YOL043C	NTG2	Kmarx
W0T7S8	KLMA_20650	orth1	YDL100C	GET3	Kmarx
W0T7V7	KLMA_20413	orth1	YBR248C	HIS7	Kmarx
W0T7X4	KLMA_10577	orth1	YMR272C	SCS7	Kmarx
W0T7Y2	KLMA_30225	orth1	YLR017W	MEU1	Kmarx
W0T800	KLMA_20725	orth1	YHR042W	NCP1	Kmarx
W0T883	KLMA_20568	orth1	YOR142W	LSC1	Kmarx
W0T8B2	KLMA_30552	orth1	YBR079C	RPG1	Kmarx
W0T8B6	KLMA_30557	orth1	YOL052C	SPE2	Kmarx
W0T8B8	KLMA_20608	orth1	YOR125C	CAT5	Kmarx
W0T8D7	KLMA_20628	orth1	YNL330C	RPD3	Kmarx
W0T8G3	KLMA_10747	orth1	YNL141W	AAH1	Kmarx
W0T8K0	KLMA_10787	orth1	YPL091W	GLR1	Kmarx
W0T8K6	KLMA_20693	orth1	YJL033W	HCA4	Kmarx
W0T8L8	KLMA_20703	orth1	YLR274W	MCM5	Kmarx
W0T8R6	KLMA_30138	orth1	YBL023C	MCM2	Kmarx
W0T8Z2	KLMA_30560	orth1	YMR247C	RKR1	Kmarx
W0T8Z7	KLMA_30565	orth1	YKL113C	RAD27	Kmarx
W0T8Z8	KLMA_30233	orth1	YAL023C	PMT2	Kmarx
W0T913	KLMA_40103	orth1	YGR157W	CHO2	Kmarx
W0T915	KLMA_30253	NA	NA	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth1	YAR009C	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth2	YBL005W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth3	YBL100W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth4	YBR012W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth5	YCL019W	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth6	YDR034C-D	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth7	YDR098C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth8	YDR210C-D	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth9	YDR210W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth10	YDR261C-D	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth11	YDR261W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth12	YDR316W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth13	YDR365W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth14	YER138C	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth15	YER160C	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth16	YFL002W-A	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth17	YGR027W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth18	YGR038C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth19	YGR161C-D	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth20	YGR161W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth21	YHR214C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth22	YJR027W	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth23	YJR029W	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth24	YLR035C-A	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth25	YLR157C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth26	YLR227W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth27	YLR410W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth28	YML039W	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth29	YML045W	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth30	YMR045C	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth31	YMR050C	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth32	YNL284C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth33	YOL103W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth34	YOR142W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth35	YOR192C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth36	YOR343W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth37	YPL257W-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth38	YPR137C-B	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth39	YPR158C-D	NA	Kmarx
W0T937	KLMA_30004 KLMA_30006	orth40	YPR158W-B	NA	Kmarx
W0T964	KLMA_30303	orth1	YPR019W	MCM4	Kmarx
W0T972	KLMA_30041	orth1	YJR070C	LIA1	Kmarx
W0T989	KLMA_20206	orth1	YOR244W	ESA1	Kmarx
W0T9B0	KLMA_30081	orth1	YMR231W	PEP5	Kmarx
W0T9C1	KLMA_20236	orth1	YBR236C	ABD1	Kmarx
W0T9C9	KLMA_40208	orth1	YNL200C	NA	Kmarx
W0T9E0	KLMA_40218	orth1	YGR192C	TDH3	Kmarx
W0T9E0	KLMA_40218	orth2	YJL052W	TDH1	Kmarx
W0T9E0	KLMA_40218	orth3	YJR009C	TDH2	Kmarx
W0T9G8	KLMA_20281	orth1	YGL126W	SCS3	Kmarx
W0T9I5	KLMA_20296	NA	NA	NA	Kmarx
W0T9Q0	KLMA_30483	orth1	YER083C	GET2	Kmarx
W0T9T9	KLMA_40363	orth1	YKL025C	PAN3	Kmarx
W0T9V7	KLMA_40186	orth1	YOR165W	SEY1	Kmarx
W0TA03	KLMA_20466	orth1	YKL148C	SDH1	Kmarx
W0TA29	KLMA_40458	orth1	YLR401C	DUS3	Kmarx
W0TA84	KLMA_40523	orth1	YLR410W	VIP1	Kmarx
W0TAA3	KLMA_40543	orth1	YPL209C	IPL1	Kmarx
W0TAA4	KLMA_30451	orth1	YPL166W	ATG29	Kmarx
W0TAA6	KLMA_20581	orth1	YDR386W	MUS81	Kmarx
W0TAC3	KLMA_40563	NA	NA	NA	Kmarx
W0TAE4	KLMA_40588	orth1	YDR440W	DOT1	Kmarx
W0TAI5	KLMA_30501	orth1	YCR066W	RAD18	Kmarx
W0TAL8	KLMA_20691	orth1	YJL034W	KAR2	Kmarx
W0TAR2	KLMA_50073	orth1	YBR265W	TSC10	Kmarx
W0TAS9	KLMA_40491	orth1	YJR139C	HOM6	Kmarx
W0TAT1	KLMA_30606	orth1	YDL201W	TRM8	Kmarx
W0TAV6	KLMA_30631	orth1	YLR355C	ILV5	Kmarx
W0TB75	KLMA_50031	orth1	YOR196C	LIP5	Kmarx
W0TB95	KLMA_30054	orth1	YAR009C	NA	Kmarx
W0TB95	KLMA_30054	orth2	YBL005W-B	NA	Kmarx
W0TB95	KLMA_30054	orth3	YBL100W-B	NA	Kmarx
W0TB95	KLMA_30054	orth4	YBR012W-B	NA	Kmarx
W0TB95	KLMA_30054	orth5	YCL019W	NA	Kmarx
W0TB95	KLMA_30054	orth6	YDR034C-D	NA	Kmarx
W0TB95	KLMA_30054	orth7	YDR098C-B	NA	Kmarx
W0TB95	KLMA_30054	orth8	YDR210C-D	NA	Kmarx
W0TB95	KLMA_30054	orth9	YDR210W-B	NA	Kmarx
W0TB95	KLMA_30054	orth10	YDR261C-D	NA	Kmarx
W0TB95	KLMA_30054	orth11	YDR261W-B	NA	Kmarx
W0TB95	KLMA_30054	orth12	YDR316W-B	NA	Kmarx
W0TB95	KLMA_30054	orth13	YDR365W-B	NA	Kmarx
W0TB95	KLMA_30054	orth14	YER138C	NA	Kmarx
W0TB95	KLMA_30054	orth15	YER160C	NA	Kmarx
W0TB95	KLMA_30054	orth16	YFL002W-A	NA	Kmarx
W0TB95	KLMA_30054	orth17	YGR027W-B	NA	Kmarx
W0TB95	KLMA_30054	orth18	YGR038C-B	NA	Kmarx
W0TB95	KLMA_30054	orth19	YGR161C-D	NA	Kmarx
W0TB95	KLMA_30054	orth20	YGR161W-B	NA	Kmarx
W0TB95	KLMA_30054	orth21	YHR214C-B	NA	Kmarx
W0TB95	KLMA_30054	orth22	YJR027W	NA	Kmarx
W0TB95	KLMA_30054	orth23	YJR029W	NA	Kmarx
W0TB95	KLMA_30054	orth24	YLR035C-A	NA	Kmarx
W0TB95	KLMA_30054	orth25	YLR157C-B	NA	Kmarx
W0TB95	KLMA_30054	orth26	YLR227W-B	NA	Kmarx
W0TB95	KLMA_30054	orth27	YLR410W-B	NA	Kmarx
W0TB95	KLMA_30054	orth28	YML039W	NA	Kmarx
W0TB95	KLMA_30054	orth29	YML045W	NA	Kmarx
W0TB95	KLMA_30054	orth30	YMR045C	NA	Kmarx
W0TB95	KLMA_30054	orth31	YMR050C	NA	Kmarx
W0TB95	KLMA_30054	orth32	YNL284C-B	NA	Kmarx
W0TB95	KLMA_30054	orth33	YOL103W-B	NA	Kmarx
W0TB95	KLMA_30054	orth34	YOR142W-B	NA	Kmarx
W0TB95	KLMA_30054	orth35	YOR192C-B	NA	Kmarx
W0TB95	KLMA_30054	orth36	YOR343W-B	NA	Kmarx
W0TB95	KLMA_30054	orth37	YPL257W-B	NA	Kmarx
W0TB95	KLMA_30054	orth38	YPR137C-B	NA	Kmarx
W0TB95	KLMA_30054	orth39	YPR158C-D	NA	Kmarx
W0TB95	KLMA_30054	orth40	YPR158W-B	NA	Kmarx
W0TBK5	KLMA_50368	orth1	YIR006C	PAN1	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth1	YAR009C	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth2	YBL005W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth3	YBL100W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth4	YBR012W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth5	YCL019W	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth6	YDR034C-D	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth7	YDR098C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth8	YDR210C-D	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth9	YDR210W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth10	YDR261C-D	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth11	YDR261W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth12	YDR316W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth13	YDR365W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth14	YER138C	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth15	YER160C	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth16	YFL002W-A	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth17	YGR027W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth18	YGR038C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth19	YGR161C-D	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth20	YGR161W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth21	YHR214C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth22	YJR027W	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth23	YJR029W	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth24	YLR035C-A	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth25	YLR157C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth26	YLR227W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth27	YLR410W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth28	YML039W	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth29	YML045W	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth30	YMR045C	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth31	YMR050C	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth32	YNL284C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth33	YOL103W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth34	YOR142W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth35	YOR192C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth36	YOR343W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth37	YPL257W-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth38	YPR137C-B	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth39	YPR158C-D	NA	Kmarx
W0TBQ3	KLMA_40299 KLMA_50423	orth40	YPR158W-B	NA	Kmarx
W0TBR2	KLMA_40237	orth1	YKR038C	KAE1	Kmarx
W0TBT3	KLMA_40257	orth1	YGR199W	PMT6	Kmarx
W0TBX9	KLMA_50503	orth1	YDR158W	HOM2	Kmarx
W0TBZ0	KLMA_40524	NA	NA	NA	Kmarx
W0TC06	KLMA_40539	orth1	YGL065C	ALG2	Kmarx
W0TC17	KLMA_40549	orth1	YGL130W	CEG1	Kmarx
W0TC23	KLMA_40302	orth1	YMR049C	ERB1	Kmarx
W0TC85	KLMA_50366	orth1	YHR031C	RRM3	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth1	YAR009C	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth2	YBL005W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth3	YBL100W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth4	YBR012W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth5	YCL019W	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth6	YDR034C-D	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth7	YDR098C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth8	YDR210C-D	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth9	YDR210W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth10	YDR261C-D	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth11	YDR261W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth12	YDR316W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth13	YDR365W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth14	YER138C	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth15	YER160C	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth16	YFL002W-A	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth17	YGR027W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth18	YGR038C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth19	YGR161C-D	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth20	YGR161W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth21	YHR214C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth22	YJR027W	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth23	YJR029W	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth24	YLR035C-A	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth25	YLR157C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth26	YLR227W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth27	YLR410W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth28	YML039W	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth29	YML045W	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth30	YMR045C	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth31	YMR050C	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth32	YNL284C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth33	YOL103W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth34	YOR142W-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth35	YOR192C-B	NA	Kmarx
W0TCA3	KLMA_30008 KLMA_50004	orth36	YOR343W-B	NA	Kmarx
